direction,qty,entry_time_utc,exit_time_utc,entry_price,exit_price,pnl,commission,mae,mfe,entry_tag,exit_tag
long,1,2026-02-18T09:43:05.028000,2026-02-18T09:48:24.036000,24852.5000,24802.5000,-101.04,1.04,-99.50,54.50,long,stop
short,1,2026-02-18T13:42:50.088000,2026-02-18T15:46:25.136000,25024.7500,24960.2500,127.96,1.04,-50.00,337.50,short,reverse
long,1,2026-02-18T15:46:28.096000,2026-02-18T21:46:11.280000,24961.2500,24987.7500,51.96,1.04,-90.00,73.00,long,eod
short,1,2026-02-19T03:52:50.564000,2026-02-19T09:52:20.216000,24952.2500,24864.2500,174.96,1.04,-44.00,379.50,short,reverse
long,1,2026-02-19T09:52:20.600000,2026-02-19T11:44:53.392000,24865.2500,24860.2500,-11.04,1.04,-46.00,193.00,long,reverse
short,1,2026-02-19T11:44:53.436000,2026-02-19T12:24:15.092000,24859.2500,24902.5000,-87.54,1.04,-88.00,115.00,short,reverse
long,1,2026-02-19T12:24:15.124000,2026-02-19T12:27:22.796000,24903.7500,24853.7500,-101.04,1.04,-99.50,2.50,long,stop
short,1,2026-02-19T12:48:30.028000,2026-02-19T14:24:50.260000,24803.5000,24849.0000,-92.04,1.04,-91.50,111.00,short,reverse
long,1,2026-02-19T14:29:31.572000,2026-02-19T21:48:46.132000,24800.5000,24879.2500,156.46,1.04,-98.00,271.00,long,eod
short,1,2026-02-20T06:01:51.972000,2026-02-20T09:32:12.716000,24882.5000,24779.5000,204.96,1.04,-11.50,411.00,short,reverse
long,1,2026-02-20T09:32:12.780000,2026-02-20T09:51:21.120000,24780.5000,24854.5000,146.96,1.04,-33.00,355.00,long,reverse
short,1,2026-02-20T09:51:53.184000,2026-02-20T09:59:30.824000,24853.5000,24903.5000,-101.04,1.04,-99.50,5.50,short,stop
long,1,2026-02-20T10:01:11.168000,2026-02-20T10:02:53.628000,24950.5000,24981.2500,60.46,1.04,-19.00,263.50,long,reverse
short,1,2026-02-20T10:02:53.964000,2026-02-20T10:08:49.104000,24978.7500,24960.2500,35.96,1.04,-60.00,241.00,short,reverse
long,1,2026-02-20T10:08:49.124000,2026-02-20T10:14:49.784000,24961.5000,24925.7500,-72.54,1.04,-72.00,131.50,long,reverse
short,1,2026-02-20T10:14:58.732000,2026-02-20T10:17:55.236000,24924.7500,24961.2500,-74.04,1.04,-73.50,128.50,short,reverse
long,1,2026-02-20T10:17:55.236000,2026-02-20T10:33:00.748000,24961.2500,24931.5000,-60.54,1.04,-59.50,153.50,long,reverse
short,1,2026-02-20T10:33:01.028000,2026-02-20T10:36:57.000000,24930.7500,24980.7500,-101.04,1.04,-99.50,45.50,short,stop
long,1,2026-02-20T10:39:29.008000,2026-02-20T10:41:00.060000,25010.2500,24960.2500,-101.04,1.04,-99.50,11.00,long,stop
short,1,2026-02-20T11:16:05.700000,2026-02-20T11:39:44.412000,25037.5000,25070.0000,-66.04,1.04,-66.00,141.00,short,reverse
long,1,2026-02-20T11:39:45.016000,2026-02-20T12:10:01.104000,25071.5000,25028.7500,-86.54,1.04,-86.00,117.00,long,reverse
short,1,2026-02-20T12:10:09.888000,2026-02-20T12:45:41.476000,25027.5000,24980.0000,93.96,1.04,0.00,296.50,short,reverse
long,1,2026-02-20T12:45:41.476000,2026-02-20T13:22:01.480000,24980.0000,24943.7500,-73.54,1.04,-73.00,131.50,long,reverse
short,1,2026-02-20T13:23:03.600000,2026-02-20T13:33:18.404000,24989.7500,25030.7500,-83.04,1.04,-87.50,121.50,short,reverse
long,1,2026-02-20T13:33:18.408000,2026-02-20T13:35:25.824000,25033.7500,24983.7500,-101.04,1.04,-99.50,64.00,long,stop
short,1,2026-02-20T14:59:32.944000,2026-02-20T15:07:39.996000,25021.5000,25071.5000,-101.04,1.04,-99.50,11.00,short,stop
long,1,2026-02-23T02:12:43.580000,2026-02-23T07:19:24.704000,24910.7500,24904.2500,-14.04,1.04,-67.00,187.00,long,reverse
short,1,2026-02-23T07:28:50.148000,2026-02-23T08:45:15.956000,24902.2500,24952.2500,-101.04,1.04,-99.50,37.00,short,stop
long,1,2026-02-23T09:30:02.900000,2026-02-23T09:40:54.052000,24984.5000,24936.7500,-96.54,1.04,-95.50,111.00,long,reverse
short,1,2026-02-23T09:40:55.512000,2026-02-23T09:51:41.252000,24935.7500,24959.2500,-48.04,1.04,-48.00,156.50,short,reverse
long,1,2026-02-23T09:51:41.456000,2026-02-23T09:55:23.344000,24960.7500,24910.7500,-101.04,1.04,-99.50,9.50,long,stop
short,1,2026-02-23T10:04:52.144000,2026-02-23T10:21:07.092000,24863.7500,24913.7500,-101.04,1.04,-99.50,48.50,short,stop
long,1,2026-02-23T11:28:38.620000,2026-02-23T12:34:43.172000,24770.7500,24720.7500,-101.04,1.04,-99.50,37.50,long,stop
short,1,2026-02-23T12:37:35.820000,2026-02-23T12:53:24.196000,24687.7500,24737.7500,-101.04,1.04,-99.50,20.50,short,stop
long,1,2026-02-23T13:12:28.120000,2026-02-23T13:58:27.072000,24778.5000,24728.5000,-101.04,1.04,-99.50,84.00,long,stop
short,1,2026-02-23T14:29:29.652000,2026-02-23T15:59:55.896000,24720.5000,24770.5000,-101.04,1.04,-99.50,84.00,short,stop
long,1,2026-02-23T16:01:43.120000,2026-02-23T21:36:20.260000,24780.2500,24878.2500,194.96,1.04,-31.50,197.00,long,eod
short,1,2026-02-24T03:18:33.764000,2026-02-24T04:13:53.880000,24777.7500,24827.7500,-101.04,1.04,-99.50,33.50,short,stop
long,1,2026-02-24T05:05:02.820000,2026-02-24T06:23:22.588000,24865.2500,24815.2500,-101.04,1.04,-99.50,1.00,long,stop
short,1,2026-02-24T07:47:01.164000,2026-02-24T08:25:01.288000,24799.2500,24849.2500,-101.04,1.04,-99.50,6.00,short,stop
long,1,2026-02-24T09:38:53.180000,2026-02-24T09:56:22.996000,24798.5000,24863.0000,127.96,1.04,-11.50,331.50,long,reverse
short,1,2026-02-24T09:56:23.164000,2026-02-24T10:10:08.316000,24861.7500,24911.7500,-101.04,1.04,-99.50,84.50,short,stop
long,1,2026-02-24T10:11:52.620000,2026-02-24T10:13:46.216000,24920.2500,24870.2500,-101.04,1.04,-99.50,5.00,long,stop
short,1,2026-02-25T18:00:00.079743,2026-02-25T20:58:46.004000,25390.5000,25319.2500,141.46,1.04,-56.00,251.50,short,eod
long,1,2026-02-26T03:14:34.996000,2026-02-26T09:30:32.464000,25366.5000,25316.5000,-101.04,1.04,-99.50,98.00,long,stop
