direction,qty,entry_time_utc,exit_time_utc,entry_price,exit_price,pnl,commission,mae,mfe,entry_tag,exit_tag
short,1,2026-02-17T15:24:23.864000,2026-02-17T21:46:50.568000,24769.7500,24770.5000,-2.54,1.04,-97.50,135.50,short,eod
long,1,2026-02-18T14:30:19.148000,2026-02-18T21:46:11.280000,24985.0000,24987.7500,4.46,1.04,-258.00,25.50,long,eod
short,1,2026-02-19T14:37:02.268000,2026-02-19T15:59:17.220000,24794.7500,24859.5000,-130.54,1.04,-129.50,86.50,short,reverse
long,1,2026-02-19T15:59:26.620000,2026-02-19T21:48:46.132000,24860.2500,24879.2500,36.96,1.04,-70.00,151.50,long,eod
short,1,2026-02-22T18:26:33.752000,2026-02-22T21:15:33.240000,24982.5000,24812.2500,339.46,1.04,-14.00,342.00,short,eod
long,1,2026-02-23T16:10:16.532000,2026-02-23T21:36:20.260000,24783.7500,24878.2500,187.96,1.04,-29.00,190.00,long,eod
short,1,2026-02-25T18:00:00.079743,2026-02-25T20:58:46.004000,25390.5000,25319.2500,141.46,1.04,-56.00,251.50,short,eod
long,1,2026-02-27T15:19:28.176000,2026-02-27T16:21:33.816000,24984.0000,24942.0000,-85.04,1.04,-124.50,77.50,long,eod
short,1,2026-03-01T18:00:00.180000,2026-03-01T18:01:47.480000,24683.0000,24740.5000,-116.04,1.04,-115.00,104.00,short,reverse
long,1,2026-03-01T18:01:47.776000,2026-03-01T21:52:23.036000,24741.5000,24796.5000,108.96,1.04,-102.50,319.50,long,eod
long,1,2026-03-02T14:30:19.720000,2026-03-02T15:11:27.752000,25088.2500,24965.0000,-247.54,1.04,-246.50,23.50,long,reverse
short,1,2026-03-02T15:11:27.756000,2026-03-02T15:55:07.980000,24964.7500,25049.0000,-169.54,1.04,-168.50,35.50,short,reverse
long,1,2026-03-02T15:55:13.424000,2026-03-02T18:20:44.964000,25050.0000,24960.0000,-181.04,1.04,-180.00,25.50,long,reverse
short,1,2026-03-02T18:20:45.240000,2026-03-02T21:42:01.388000,24959.2500,24877.7500,161.96,1.04,-47.50,302.00,short,eod
long,1,2026-03-03T14:38:00.288000,2026-03-03T15:18:01.952000,24813.0000,24748.0000,-131.04,1.04,-130.00,74.50,long,reverse
short,1,2026-03-03T15:18:02.592000,2026-03-03T19:18:08.308000,24747.0000,24770.5000,-48.04,1.04,-122.00,156.50,short,reverse
